,Topics,Authors,Date,Description
156,"Depth derivation from the Worldview-2 satellite using hyperspectral imagery 
","Loomis, Michael J.",2009-03,"The Worldview-2 satellite, scheduled for launch in 2009, will have a multispectral  sensor with several additional spectral bands not available on current multispectral  sensors. This research investigates the use of the ..."
157,"E-Bomb: the key element of the contemporary military-technical revolution 
","Ertekin, Necati",2008-09,"The contemporary military rivalry is driven mostly by the ongoing military technical revolution. In
particular, the weapons used on the future battlefield will play an important role in military affairs. Which
weapons can ..."
158,"Cross-domain network fault localization 
","Fischer, William D.",2009-06,"Prior research has focused on intra-domain fault localization leaving the cross-domain problem largely unaddressed. Faults often have widespread effects, which if  correlated, could significantly improve fault localization. ..."
159,"Da Vinci's children take flight: unmanned aircraft systems in the homeland 
","Moore, Jeanie",2014-03,"In 2015, the Federal Aviation Administration will open national airspace to unmanned aircraft systems (UAS). Nonmilitary uses for UAS range from agriculture services to entertainment purposes, and include tasks as mundane ..."
160,"Georgia's quest for NATO membership: challenges and prospects 
","Summers, Nakia J.",2010-12,"Georgia has a resume of achievements in its relations with NATO since 1992. However, at the 2008 Bucharest Summit, the NATO Allies chose not to offer Georgia a Membership Action Plan. At the 2009 Strasbourg-Kehl Summit, ..."
161,"The future of the ballistic missile submarine force in the Russian nuclear triad 
","Lesiw, Richard T.",2008-09,"This thesis analyzes the current status of the Russian Federation's ballistic missile submarine force. It reviews the  history of the ballistic missile submarine force, its current status, and the implementation of plans ..."
162,"Fractional factorial controlled sequential bifurcation efficient factor screening through divide and discard 
","Oh, Regine Pei Tze",2007-12,"On any given day, organizations use software simulations to make better  decisions. Software simulations of real world systems are often large and rich with many  parameters potentially affecting outcomes. Faced with a ..."
163,"Automated intelligent agents are they trusted members of military teams? 
","Colebank, Jayson L.",2008-12,"Technological advances and increased operational  challenges have led to the introduction of automated agents  into military teams. Although these new combined teams have  many advantages, it is possible that the interactions ..."
164,"Synthesis and Characterization of Nitrogen-Doped Graphene 
","Palaniuk, D. Ryan",2012-09,"Self standing nitrogen doped graphene sheets were produced by reduction-expansion method, which utilizes graphite oxide (GO) and urea as precursor materials. For comparison, an Atmospheric Microwave Plasma Torch system ..."
165,"The policy of the Bharatiya Janata Party, 1980 and  2008 possible influence of Hindu nationalism on Indian politics 
","Busch, Carsten.",2009-06,"The Bharatiya Janata Party (BJP) is one of the few Indian political parties which contest nationwide. Its Hindu nationalistic  appeal changed over time. In 1998, the BJP gained power and formed a coalition to rule India. ..."
166,"Information warfare officer retention using a capabilities-based assessment to solve retention issues 
","Linn, Robert A.",2009-12,This thesis uses the Joint Capabilities Integration and Development System (JCIDS) Capabilities Based Assessment (CBA) in an attempt to provide  both monetary and nonmonetary solutions to the problem of low retention rates ...
167,"Frigate defense effectiveness in asymmetrical green water engagements 
","Abel, Heiko",2009-09,"Asymmetric threats pose increasing challenges to combatant commanders in Stability, Security, Transition, and  Reconstruction (SSTR) Operations. Threats once confined to littoral waters now extend out to the green water  ..."
168,"Contingency Contracting Officer Proficiency Assessment Test Development for Construction, Architect-Engineer, and Contingency Contracting 
","Lutz, Thomas; Garrett, Michael; Hunt, William",2013-03,"In September 2011, the U.S. Army Corps of Engineers (USACE) published a proficiency training guide titled, 51C/1102 Proficiency Guide for Construction, Architect-Engineer, & Contingency Contracting, for military contingency ..."
169,"Investigation of performance improvements including application of inlet guide vanes to a cross-flow fan 
","Cordero, Samuel F.",2009-09,The inherent characteristics of a cross-flow fan allowing for easy thrust vectoring as well as potential airfoil boundary layer control make it an attractive propulsive means for a theoretical vertical takeoff and landing ...
170,"Multistatic radar imaging of moving targets 
",Ng Chee Yong,2009-12,"In this thesis, we study the new imaging theory developed by Cheney and Borden [1] that incorporates target motion during data collection for the imaging process. The subject of radar imaging from scattered waves is explored ..."
171,"A satellite architecture for operationally responsive space 
","Geib, Jeremy Scott",2009-03,"Operationally Responsive Space (ORS) is focused on putting satellites in orbit in significantly less time than it currently takes. ORS is based on responding to an operational need quickly, but it should not be thought of ..."
172,"Eyes of the storm: can fusion centers play a crucial role during the response phase of natural disasters through collaborative relationships with emergency operations centers? 
","Coyle, Timothy P.",2014-09,"Through the maturation of the national network of fusion centers, processes and capabilities originally designed to detect and thwart terrorist attacks are now applied to disaster responses. The fusion process, which ..."
173,"Making the case what is the problem with targeted killing? 
","Ramirez, Robert.",2009-12,"What is the problem with targeted killing? The problem is not simply the legal and moral grounds for the policy, nor  the tactical implementation of the policy. Rather, the problem is that current research does not ..."
174,"The U.S. arms embargo of 1975--1978 and its effects on the development of the Turkish defense industry 
","Durmaz, Mahmut",2014-09,"The defense industry is one of the most important and fastest-growing industries inTurkey. It not only provides for the Turkish military, but also exports many systems and equipment to other countries. WhileTurkey has a ..."
175,"Federal law enforcement in bi-national perspective: the United States FBI and the Mexican PFM 
","Fuerte, Erik M.",2014-09,"Mexico’s Federal Ministerial Police (PFM) agency was structured similar to the United States Federal Bureau of Investigation (FBI). Although there have been significant reforms within the PFM, it has been ineffective at ..."
176,"Expeditionary mobile operations center (EMOC) 
","Gonzalez, Jose",2014-09,This research explores a viable solution to the U.S.Marine Corps’ (USMC) communications gap at the tactical edge. The aim is to leverage commercial-off-the-shelf (COTS) technology to provide a combat operations center (COC) ...
177,"The improbable state: the prospects for a developmental turn in North Korea 
","Fine, John D. B.",2014-09,This thesis examines the prospects of North Korean economic reform. It provides a comparative analysis of Chinese conditions that led to the economic reforms implemented by Deng Xiaoping and the conditions that are present ...
178,"Identifying and leveraging trust as a key element in the development, implementation and sustainment of the Salt Lake City Fire Department's intelligence program 
","Ellis, Martha Marie",2014-09,Laying the foundation for the reestablishment of the Salt Lake City Fire Department’s intelligence program requires several steps: Establishing a need; identifying the stakeholders; developing an implementation and sustainment ...
179,"""Probable cause"" for maritime Interdictions involving illicit radioactive materials 
","Kizanis, Ioannis.",2008-12,"Existing international frameworks that govern maritime interdiction entitle the  boarding of a vessel in international waters only if justified by reasonable grounds to  suspect that the vessel is engaged in illicit activity, ..."
180,"Optimizing the Ground Mobile Radio basis of issue plan for the U.S. Army Heavy Brigade Combat team 
","Prisco, Nicholas E.; Wamsley, Jason B.; Jimenez, David A.",2011-12,The Ground Mobile Radio (GMR) is a communications system designed to enhance data throughput and communications within the U.S. Armed Forces. The GMR utilizes the Wideband Networking Waveform (WNW) and the Soldier Radio ...
181,"Economic motives behind the 2011 Egyptian Revolution 
","Akcesme, Gokhan",2014-09,"Although it took place over only 18 days, the 2011 Egyptian Revolution was a significant socio-political event in modern Middle East history. As a part of an upsurge of protest movements across the region, the Egyptian ..."
182,"Performance of wireless networks in highly reflective rooms with variable absorption 
","Intini, Aníbal L.",2014-09,Wireless communications provide opportunities to extend the reach of command and control assets to military members separated from traditional wired networks. Indoor wireless systems are already used in a variety of ...
183,"Policy and policy formulation considerations for incorporation of secure mobile devices in USMC ground combat units 
","Epstein, Robert J.",2014-09,"Modern information technology evolves at a rapid pace, and the U.S.Marine Corps ground combat units require cutting-edge capabilities in order to maintain a competitive advantage. The advent and military application of ..."
184,"Army contracting workforce development building core competencies and skills 
","Lene, Christina L.; Poppler, Dawn M.",2014-09,"Operational contracting support provided by the Army Mission and Installation Contracting Command to the warfighter includes everything from acquiring the necessary equipment, supplies, and services vital to the mission ..."
185,"Window of opportunity: mitigating threats from disruptive technologies before widespread adoption 
","Knapp, Christopher R.",2014-09,"As the pace of technology increases, so does the potential development of disruptive technology-related threats. However, by enacting proactive safety and security measures during the window of opportunity, a government ..."
186,"Using a counterfactual process to identify the applicability of emerging technology 
","Johnson, Michael William",2014-09,"Law enforcement is often ill-prepared to identify and adopt emerging technologies into its agencies and communities. This ineffectiveness frequently leads to unintended consequences, as well as a technological gap between ..."
187,"Utilizing an energy management system with distributed resources to manage critical loads and reduce energy costs 
","Gustafson, David J.",2014-09,"Energy security is critical to the DOD and can be achieved using different methods, but for DOD installations cost effectiveness must be taken into consideration when evaluating energy security goals. Energy Storage Systems ..."
188,"Beyond Lawrence ethnographic intelligence for USSOCOM 
","Machiela, Chad T.",2009-12,"Ethnographic Intelligence (EI) is ""information about indigenous forms of  association, local means of organization, or traditional methods of mobilization"" and the  collection and processing of information regarding ""ties ..."
189,"Leveraging international cooperation acquisition opportunities for the Department of Defense 
","Evans, Frederick, Jr.; McConnell, Scott",2014-09,"Leveraging current and future International Cooperation opportunities, such as Foreign Military Sales and Cooperative Programs throughout the entire Department of Defense System Acquisition Framework could contribute to ..."
190,"Architecting the safety assessment of large-scale systems integration 
","Yin, Tong Choon.",2009-12,"This research identifies the information/data required to perform a safety assessment for large-scale systems integration.  From these required safety-related information/data, and the utilization of system engineering ..."
191,"Optimization of Continuous Maintenance Availability Scheduling 
","Anderson, Cyrus K.",2014-09,Every few months each United States submarine must return to a port to undergo major maintenance that cannot be conducted at sea. These maintenance periods are called Continuous Maintenance Availability (CMAV) periods. All ...
192,"Feasibility of single and dual satellite systems to enable continuous communication capability to a manned Mars mission 
","Gladem, Jennifer",2014-09,The National Aeronautics and Space Administration’s current proposed timeline for an interplanetary expedition is circa 2030. A manned Mars mission involves many complex requirements for communication with significant ...
193,"Modeling and implementing a digitally embedded maximum power point tracking algorithm and a series-loaded resonant DC-DC converter to integrate a photovoltaic array with a micro-grid 
","Bailey, Troy D.",2014-09,A DC-DC converter with an embedded digital maximum power point tracking (MPPT) algorithm for a photovoltaic (PV) application is presented in this thesis. The topology centers around a series-loaded resonant (SLR) converter ...
194,"Now is the time for CVE-2. Updating and implementing a revised U.S. national strategy to counter violent extremism 
","Davis, Thomas J.",2014-09,The United States (U.S.) national strategy countering violent extremism (CVE) has yet to be updated and currently does not provide the necessary national framework to best combat self-radicalization and violent extremism ...
195,"Development of a web-based distributed interactive simulation (DIS) environment using javascript 
","Hsiao, Chen-Fu",2014-09,"This thesis investigated the current infrastructure for web-based simulations using the DIS network protocol. The main technologies studied were WebSockets, WebRTC and WebGL. This thesis sought readily available means to ..."
196,"An analysis of medical imaging costs in military treatment facilities 
","Lewis, David M.; Westcott, Jeremy H.",2014-09,This joint applied project examines costs of medical imaging within Continental United States military treatment facilities to determine cost effectiveness when compared to civilian facilities and determine whether there ...
197,"The Berry Amendment: a comprehensive look at the history and implications for program managers of hand- and measuring-tool-intensive programs 
","Lundstrom, Edward D.",2014-09,"The scope of this project is to examine the technical, financial, scheduling and implementation aspects for Program Managers who manage hand- and measuring-tool-intensive programs. Initially, the history, definition, ..."
198,"NPS Solar Cell Array Tester CubeSat flight testing and integration 
","Helker, Joseph K.",2014-09,The Naval Postgraduate School Solar Cell Array Tester (NPS-SCAT) is the first CubeSat for the Naval Postgraduate School (NPS). The NPS-SCAT mission was designed to measure solar cell performance degradation in low earth ...
199,"Emerging Micronesian island nations: challenges for United States policy 
","Camacho, Edward C.",1995-06,"This thesis is a study of Micronesia and its various peoples. It is an introduction to the geography and history of a region that is not well known, but rendered strategically important, at one time to Japan, and presently ..."
200,"Eliminating war by eliminating warriors: a case study in Costa Rica 
","Benton, Julian L.",2016-03,"Armed conflicts have a destabilizing effect on individual nations and the international community alike. Conversely, reducing warfare has a positive effect on both national and international affairs. Stable nations equate ..."
201,"Fracture of high restraint welds in high strength quenched and tempered steel. 
","Schrodt, Clair James.",1974,no description
202,"A critical study of spin-up drag loads on aircraft landing gears 
","Brown, John Rousseau",1949,This report attempts to analyze in detail the spin-up drag loads imposed upon an aircraft main landing gear.  Other factors in the landing gear problem are ignored except insofar as they affect this one type of loading.  ...
203,"Preliminary turbine design for thermal cycle feasibility. 
","Potter, David Arthur",1974,no description
204,"Factors affecting the strength and toughness of ultra-low carbon steel weld metal 
","Van Slyke, Jonathon J.",36495,"The factors that affect strength and toughness often ultra-low carbon steel weld samples (HSLA-80 and HSLA-100), welded using the gas metal arc welding (GMAW) process and new ultra-low carbon consumable electrodes, were ..."
205,"Combined ship hull horizontal and vertical wave bending moments in irregular seas 
","Baltazar, Mario Anastacio",1974,no description
206,"Design of an instrument for measuring the true vertical velocity of an airplane at moment of contact in landing 
","Burger, Glenn William; Daniels, Jerry Forest Jr.",1947-06,In the design of the Vertical Velocity Meter a survey was first conducted of the existing methods used to measure the vertical velocity of an airplane when landing.  A study was then made of these methods and of other ...
207,"The effect of surface roughness upon 25 ST aluminum alloy subjected to repeated tensile stresses above the proportional limit 
","Ringness, William Merritt",1949,... the author investigated the effects of surface roughness upon the cyclic life of 25ST aluminum alloy when subjected to repeated constant tensile stresses in the region above the proportional limit.
208,"Hull bending moment due to springing. 
","Couto, Antonio Simoes.",1974,no description
209,"The impact of high performance technology on naval ship design. 
","Fahy, Thomas Edward",1976,no description
210,"The development of a method for predicting statistical stability of a vessel in preliminary design 
","Thompson, Edward Carter, Jr.; Hubbard, Austin Flint",1951-05,The authors have developed a procedure for obtaining a workable method giving satisfactory accuracy in preliminary ship design for predicting the curve of statical stability of a vessel when only the principal dimensions ...
211,"Research on high-strength steels with an improved resistance against weld cracking. 
","Hillenbrand, Frederick Frank, III",1984,no description
212,"The application of robotic arc welding to shipbuilding. 
","Koreisha, Nicholas Alexis",1984,no description
213,"The dynamic response of cylindrical shells subjected to side-on underwater explosions 
","Fox, Padraic K.",1992-03,"Two studies were performed to enhance the understanding of phenomena occurring in
shell structures subjected to side-on underwater explosions. In the first, a numerical
analysis was performed to investigate the non-linear ..."
214,"Stress analysis of transverse ship frames 
","Daniels, Lowell P.; Davies, Ward J.",1950,no description
215,"Development of a hydroduct 
","Anderson, R. G.; McClellan, J. R.; Rush, C.W.",1947,no description
216,"Preliminary design considerations of pressure vessels for a deep diving submersible. 
","Elliott, Thomas John.",1974,no description
217,"Angular motion instrumentation for model seaworthiness testing. 
","Porter, W. R.",1955,no description
218,"A spread spectrum communication system. 
","Garrett, Cain Jr.",1974-12,"This thesis reports on an investigation of a practical
solution to the problem of providing covert, secure protection
to the video channel of a remotely piloted vehicle
(RPV) down-link. Spread spectrum technology ..."
219,"Material degradation in heavy steel plates caused by bending with a laser. 
","Deacon, Debra Lee",1984,no description
220,"An investigation of the effects of shear on the compressive strength of plating 
","Ballard, John Adams; Lennon, Bernard Charles",1949-05,"The purpose of this investigation was to design,
construct, and test a device which was to be capable of
applying a compressive force and a shearing force to a
plane panel of plate.  This device was then to be used
to ..."
221,"Optimum design of stiffened plates using the finite element method. 
","Park, Chil Sung.",1983,no description
222,"An investigation into the use of data bases in computer-aided naval ship design 
","CeLotto, Richard Charles",1984,"A design-oriented, interactive computer system which
makes possible the dynamic loading of programs at the
user's request throughout the operating session has been
developed. This system, which is referred to as DEX, ..."
223,"U.S. national security strategy in Southeast Asia: a reappraisal 
","Freeseman, Douglas D.",1995-06,"The United States found itself at the end of the Cold War with a predominately military national security strategy that has been less relevant in coping with the residue of the bi-polar world. Furthermore, the general ..."
224,"A supercharged heavy duty gas turbine and steam cycle as a propulsion plant for Naval auxiliary ships. 
","Woodruff, Robert Bruce.",1972,no description
225,"Interannual variations in Arctic winter temperature: the role of global scale teleconnections 
","Parrish, Kathryn A.",2015-06,"To skillfully predict Arctic climate, one must fully understand the conditions influencing Arctic climate on intraseasonal, interannual, and multi-decadal time scales. This study aims to improve climate support to U.S. ..."
226,"Modified design of a scale model of a cylindrical rotor, steam turbine generator. 
","Williams, Billy Bryan.",1972,no description
227,"Development of an NPS Middle Ultraviolet Spectrograph (MUSTANG) electronic interface package. 
","Quint, John H.",1991-12,"This thesis developed a robust electronic interface package for the Naval
Postgraduate School (NPS) Middle Ultraviolet Spectrograph (MUSTANG)
experiment. The MUSTANG instrument was designed to observe atmospheric
emissions ..."
228,"Experimental investigation of failure in thin rings subjected to uniform external pressure 
","Demyttenaere, Jules Henry; Norris, William J.",1954,no description
229,"Interaction of a vortex pair with a free surface : measurements and computations 
","Suthon, Peter B. R.",1990-06,"An investigation of the interaction of two-counter-rotating vortices with a free surface has been undertaken. Experiments were carried out in two water basins and in a long towing tank through the use of measurements, flow ..."
230,"Constrained viscoelastic layer damping of thick aluminum plates: design, analysis, and testing 
","Bateman, Michael John.",1990-03,Modern naval warfare has been increasingly dependent upon the acoustic silencing of the participants. Constrained viscoelastic layer damping of vibrating elements is one method which can be used to meet acoustic silencing ...
231,"A phase-sensitive servomechanism for the M.I.T. network analyzer. 
","Seeger, Billy Frank; Thornton, Joseph Hardin",1950,no description
232,"Development of a GIFTS plotting package compatible with either PLOT10 or IBM/DSM graphidcs. 
","Pickles, Thomas R.",1983,no description
233,"Computer aided conceptual design of submarines. 
","Hale, Patrick Charles",1984,no description
234,"An evaluation of the potassium-steam binary cycle. 
","Pesar, James Allen",1976,no description
235,"An experimental investigation of friction at very slow sliding velocities. 
","Jones, Gerald R.",1955,no description
236,"Effect of ring tension, face width, and number of rings on piston ring friction 
","Gibson, William Comrie; Packer, Francis Avery",1951,no description
237,"Real time prediction of ship hull vibration. 
","Taylor, James Wallace",1984,no description
238,"Robust path tracking of autonomous underwater vehicles using sliding modes 
","Chism, Steven R.",1990-12,"Accurate track keeping of autonomous underwater vehicles is necessary for the autonomous navigation of a vehicle through confined spaces, and in the presence of obstacles and cross-current environments. Uncertainties in ..."
239,"A study of factors limiting the utility of a digital memory system with nondestructive readout 
","Krohn, Stanley W.; Robinson, Thomas W.",1955,no description
240,"Free-surface/vorticity interaction 
","Carroll, John B.",1993-09,The unsteady flow phenomena resulting from the interaction of wakes and vortices with the free surface are of particular importance in naval hydrodynamics. Ship and submarine wakes produce a three-dimensional complex ...
241,"The U.S.-Indonesian relationship in the 1990's and beyond 
","Packard, Anthony M.",1993-12,"This thesis argues that while Indonesia and the United States are not the closest of allies, new approaches to the way both countries formulate foreign policy will lead to a stronger friendship. A summary of U.S.-Indonesian ..."
242,"Japan's roles in U.S. national security strategy: strategic ally and economic adversary 
","Arnold, Thomas Edward",1991-06,This thesis examines the conflict between contradictory but coexisting American views of Japan's roles in U.S. national security strategy: strategic ally and economic adversary.  Its central hypothesis is that postwar ...
243,"The American economy: its future and its segments. 
","Poppe, Charles R.",1960,no description
244,"The role of the comptroller of the Navy in the administration of the Navy pay system. 
","Tracy, George D.",1959,no description
245,"Aspects of budgetary control 
","Wilson, Henry R.",1954-01,no description
246,"Multivariable control of an underwater vehicle. 
","Milliken, Logan George",1984,no description
247,"A quasi-static design model for synthetic marine towlines. 
","Proctor, Walter Noel",1984,no description
248,"Selecting the proper ceramic material for a regenerator experiencing large temperature gradients. 
","Kikuta, Miles Yasuo",1984,no description
249,"A cogas propulsion cycle with peak efficiency at a low power. 
","Clough, Geoffrey Armstrong.",1972,no description
250,"Investigation of the performance of a gas-loaded variable conductance heat pipe. 
","Reynolds, Keith Earl.",1972,no description
251,"A proposed Naval Shipyard organization. 
","Holmes, Donald T.",1959,no description
252,"State and local revenues. 
","Crapo, William N.",1955,no description
253,"A Revolutionary experiment; a critical appraisal of the Navy Industrial Fund in operation. 
","Hency, Max",1959,no description
254,"""Administration!"" 
","Meilandt, Ralph L.",1955-05,no description
255,"The rationale for and some limitations of decentralization. 
","Pross, Vincent J.",1959,no description
256,"Some aspects of procurement in the Navy 
","Poindexter, William L.",1953,no description
257,"Progress in Navy financial management under Title IV of the National Security Amendments of 1949 
","Stephenson, C. B.",1959,no description
258,"The national interests of the United States in Southeast Asia : policy changes for their protection and promotion since the withdrawal from the naval base at Subic Bay 
","Hasselman, Karen A.",1993-12,"In November 1992, the United States withdrew its military forces from facilities in the Republic of the Philippines. The United States must now reassess its commitments, and the means and policies it will employ in protecting ..."
259,"Autonomous underwater vehicle architecture synthesis for shipwreck interior exploration 
","Eldred, Ross A.",2015-12,"The objective of this thesis is to develop, using a systems engineering approach, the functional analysis, general requirements, key performance parameters, and high-level architectural tradeoff considerations that lead ..."
260,"History as the Architect of the Present : What Made Kashmir the Nucleus of South Asia Terrorism India-Pakistan Conflict and its Impact on U.S. Homeland Security 
","Dutta, Sunil",2012-03,"This thesis focuses on the root causes of conflict in South Asia that have created the environment in the Afghan Pakistan border areas, which nurtures insurgency. The causes are rooted in the decisions, made by the British ..."
261,"Control conflicts involving the military officer. 
","McKinney, H. E.",1960,no description
262,"Cost Accounting as a management tool in the Department of the Navy 
","Braun, George J. Jr.",20223,no description
263,"Modeling and simulation of a dual-junction CIGS solar cell using Silvaco ATLAS 
","Fotis, Konstantinos",2012-12,"The potential of designing a dual-junction Copper Indium Gallium Selenide (CIGS) photovoltaic cell is investigated in this thesis. Research into implementing a dual-junction solar cell, using a CIGS bottom cell and different ..."
264,"Impacts of space system acquisition on national security 
","Harris, Jr., Andrew W.",2012-12,"This thesis examines a series of problems that the United States has encountered in its space systems acquisition process, and how these problems have impacted national security. This thesis has also examines several space ..."
265,"A capability-based approach to analyzing the effectiveness and robustness of an offshore patrol vessel in the search and rescue mission 
","Ashpari, Mohammad",2012-12,"In this thesis, a model of effectiveness for an offshore patrol vessel conducting search and rescue missions is developed and described. Beginning with a brief overview of work done by colleagues from the University of ..."
266,"Multiple pressures and problems inherent in a military budget. 
","Meilandt, Ralph L.",1955,no description
267,"Making the Surface Fleet Green The DOTMLPF, Policy, and Cost Implications of Using Biofuel in Surface Ships 
","Beads, III., Calvin S.",2012-12,One of the goals of the Department of the Navys (DON) alternative energy initiative is to reduce the Navys dependence on fossil fuel. This project uses DOTMLPF criteria to measure the impact of biofuel use on the Surface ...
268,"Emerging Patterns in the Global Defense Industry 
","Franck, Raymond; Lewis, Ira; Udis, Bernard; Matthews, David",40674,Symposium Presentation
269,"Sustainable acquisition process improvement for Naval Facilities Engineering Command 
","Sanders, Erin H.",2003-08,"Mandated reduction of natural resources consumed by U.S. Federal Facilities hasforced agencies to reconsider how facilities are acquired. The process for acquiringfederal facilities is guided by laws, executive orders, ..."
270,"Emergent Social Software Platforms for the Sharing of and Collaboration on Criminal Information and Intelligence 
","Alexander, Richard A.",2012-09,"Information sharing and collaboration between federal, state, and local agencies has been repeatedly stressed as a part of the national security strategy. The emphasis has been on inter-agency communication and has largely ..."
271,"What's My Lane? Identifying the State Government Role in Critical Infrastructure Protection 
","Donnelly, Timothy S.",2012-03,What constitutes an effective Critical Infrastructure and Key Resources (CIKR) protection program for Massachusetts This study evaluates existing literature regarding CIKR to extrapolate an infrastructure protection role ...
272,"Recommendations and privacy requirements for a bring-your-own-device user policy and agreement 
","Wedel, Chad R.; Michalowicz, Andrew T.",2015-03,The purpose of a bring-your-own-device (BYOD) program is to increase productivity as it allows individuals to access and manipulate data from non-traditional workplaces to support mission requirements. The United States ...
273,"Internet Radicalization : Actual Threat or Phantom Menace? 
","Mealer, Michael J.",2012-09,Popular opinion expresses fear that accessing radical Islamic content and connecting with extremist networks through Internet functionalities causes radicalization and recruitment to commit terrorist acts. Anecdotal evidence ...
274,"Southwest Hispanic community - the absence of homeland security threats 
","Moore, Alan G.",2012-12,"Threats of terrorism and insurgency along the Southwest border are typically supported by anecdotal evidence rather than objective assessments of such threats, which limit the ability to appropriately address issues related ..."
275,"The Use of an Enhanced Polygraph Scoring Technique in Homeland Security : The Empirical Scoring System --Making a Difference 
","Robertson, Bruce P.",2012-03,"This thesis studies the polygraph Empirical Scoring System (ESS) to determine its potential use in homeland security and the war on terror. The research based its analysis on raw data previously collected by other researchers, ..."
276,"Federated Search Tools in Fusion Centers : Bridging Databases in the Information Sharing Environment 
","Wormet, Jody R.",2012-09,This research utilized a semi-structured survey instrument delivered to subject matter experts within the national network of fusion centers and employed a constant comparison method to analyze the survey results. This ...
277,"A method for budgetary control of expenditures 
","Dryer, O.W.",1953,no description
278,"Hunting a Black Swan : Policy Options for America's Police in Preventing Radiological/Nuclear Terrorism 
","Baldini, Edward",2012-09,Local law enforcement is a necessary and irreplaceable component to a comprehensive approach to increasing the probability of detection of attempted Nuclear and Radiological Terrorism incidents. Local law enforcements ...
279,"Aviation security: biometric technology and risk based security aviation passenger screening program 
","Cooper, Curt S.",2012-12,"Since 9/11, the Transportation Security Administration (TSA) has struggled to maintain a balance between providing a secure world-class aviation passenger-screening program (APSP) while providing efficiency, convenience ..."
280,"An empirical study of the social network of the contracting officer's representative 
","Judy, Jonathan W.",2012-12,The overall purpose of this study is to conduct an in-depth analysis of the influence that the social network of the contracting officers representatives (COR) has on service contract oversight. The specific objective of ...
281,"Creation of a United States Emergency Medical Services Administration Within the Department of Homeland Security 
","McGovern, Philip P. III",2012-03,"Federal administration of this nations emergency medical services (EMS) has come under increasing criticism, in a post- September 11 world, by many of its stakeholders and constituents. Critics accurately argue that the ..."
282,"Getting Serious About Games - Using Video Game-based Learning to Enhance Nuclear Terrorism Preparedness 
","Gorman, Chad M.",2012-03,This thesis proposes the development of a video game platform to increase the publics knowledge of required protective actions in the event of a nuclear terrorism attack. Current scientific analyses have identified elementary ...
283,"Selection for career course and impact on retention of Brazilian Air Force officers 
","De Mello Takahashi, Marcus Vinicius",2015-03,This research examines the effect of a particular non-monetary incentive on the retention of active duty Brazilian Air Force colonels. The objective is to provide evidence to support the Brazilian Air Force Manpower decision ...
284,"Media Independent Handover for Wireless Full Motion Video Dissemination 
","Ohleger, Jr., Michael Peter",2012-09,"With an increase in the amount of daily UAV flights and the number of Digital Video Broadcast Return Channel Satellite (DVBRCS) suites in the Central Command (CENTCOM) Theater of Operations, the demand for a constant access ..."
285,"Resonant terahertz absorption using metamaterial structures 
","Phillips, Allan T.",2012-12,The Sensor Research Lab at the Naval Postgraduate School is developing a real-time THz imaging camera. Vital to its design is the metamaterial absorbing layer (metafilm) within each pixel that allows for THz absorption. ...
286,"Overhead expense and the comptroller 
","Colquhoun, J.D.",1953,no description
287,"Violent Mexican Transnational Criminal Organizations in Texas Political Discourse and an Argument for Reality 
","Rush, Mathew C.",2012-09,"In 2006, Mexico President Felipe Calderon, with U.S. assistance, launched a military campaign to combat Violent Mexican Transnational Criminal Organizations in attempt to disrupt the growing violence throughout Mexico. The ..."
288,"The Future Mission Tasking and Resourcing of the U.S. Coast Guard Auxiliary 
","Barner, Mike",2012-09,This thesis studies the historic activity and present operational return on investment of the U.S. Coast Guards all-volunteer citizen supported Auxiliary organization; it recommends harvesting approximately $2.7M by ...
289,"Policy Options to Address Crucial Communication Gaps in the Incident Command System 
","Bushman, Edward",2012-09,"The Incident Command System (ICS) resulted from the need for a new approach to the problem of managing wildfires in the early 1970s. The events of September 11, 2001, led to issuing of Homeland Security Presidential Directive ..."
290,"Evolving the local fire service intelligence enterprise in New York State: implementing a threat liaison officer program 
","Covert II, Robert M.",2012-12,"Eleven years after the attacks of 9/11, the local fire departments in New York State (excluding New York City) have made limited progress toward increasing their involvement in the homeland security intelligence enterprise. ..."
291,"Effective Municipal Emergency Planning for People With Disabilities and Others With Access and Functional Needs 
","Spill, Kimberly H.",2012-09,"The objective of this thesis is to examine the role of municipal government with regard to disaster planning for individuals with access and functional needs. Oftentimes, a heavy reliance on county and higher levels of ..."
292,"Oriented military - Plans - Operations - Budgets. 
","Johnson, John R.",1960,no description
293,"An international controller 
","Netts, George W.",1954,no description
294,"Bridging the Gulf : A New Paradigm for Emergency Management on Americas Third Border 
","Slaten, Andrew R.",2012-03,The current U.S. government structure for engaging with emergency management issues on the international arena requires fresh analysis and review to determine efficacy and practicality for emerging threats and challenges. ...
295,"Sasebo, a case study in optimizing official vehicles 
","Evangelista, Amy",2012-12,"The purpose of this research is to develop a comprehensive understanding of vehicle pools, how the number of vehicles authorized is determined, and how Commander Naval Installations Command (CNIC) manages assets through ..."
296,"Design and hardware-in-the-loop implementation of optimal canonical maneuvers for an autonomous planetary aerial vehicle 
","Savage, Marta K.",2012-12,"A truly autonomous aerial vehicle is required for conducting aerial missions at distances great enough to cause time lag in communications, such as on other planets. This level of autonomy also reduces the requirement for ..."
297,"The organization and functioning of Naval staffs. 
","Ettinger, Ralph D.",1955,no description
